epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,1.4469829140721684,1.2159009839915023,46.834,58.1
2,0.9248197255537028,1.0420080144194108,67.132,66.56
3,0.7122538638541765,0.8644323469717291,74.994,72.28
4,0.5982619955411652,0.6132134225549577,79.284,78.77
5,0.5251648655480436,0.5689469153368021,81.898,81.0
6,0.4716641675023472,0.49264803302438953,83.642,83.58
7,0.41746294124961814,0.5165978270240977,85.43,83.09
8,0.3840617612575936,0.4392941662027866,86.586,85.03
9,0.35395634258189773,0.4815598133998581,87.716,83.7
10,0.3277383416967319,0.4082052602043635,88.614,86.61
11,0.30521513148189505,0.5213474163526222,89.324,82.85
12,0.2835789452047299,0.4154082378254661,90.264,86.55
13,0.2645076674687893,0.44905693470677244,90.756,86.04
14,0.25376201924079517,0.38495080682295785,91.152,87.36
15,0.2303338926809523,0.3865163465843925,92.008,88.0
16,0.21932693957672705,0.4234611574984804,92.384,86.81
17,0.20845163135272463,0.34505367354501654,92.706,89.34
18,0.19634439788587257,0.5498682503836064,93.15,84.09
19,0.18704373515246775,0.33601587916476816,93.33,89.51
20,0.17395011785313907,0.3535923076958596,93.882,89.87
21,0.16644099790155126,0.3767082842090462,94.166,88.71
22,0.15940503924703964,0.35539969745316086,94.366,89.34
23,0.150125920477197,0.37783671689184406,94.682,88.53
24,0.14068644115572695,0.3480067096556289,95.074,89.58
25,0.13343547618545382,0.3288276931153068,95.388,89.9
26,0.12528439095753538,0.3308073938647403,95.616,90.33
27,0.12162956871721141,0.3680658977997454,95.614,89.29
28,0.11195238564363526,0.3574333839778659,95.994,89.49
29,0.10603950296045112,0.37419058005266553,96.296,89.39
30,0.10016119433924213,0.3547788186918331,96.484,90.58
31,0.09671649828915248,0.3908199724517291,96.626,89.28
32,0.09265411497496279,0.35022993234893945,96.884,90.01
33,0.08614230636612076,0.32681312553490266,96.96,90.77
34,0.08128147220710659,0.3451966123679016,97.172,90.32
35,0.07834071793672069,0.4090832752894752,97.264,89.25
36,0.07554453091643502,0.3220861736166326,97.34,91.33
37,0.06854333091155647,0.3273073876205879,97.696,90.62
38,0.06207556824159363,0.30774236093216306,97.858,91.57
39,0.06040422881112608,0.3270390801414659,97.9,91.58
40,0.05345429054430455,0.34664766886566256,98.24,90.88
41,0.04949130403244739,0.32392357822649087,98.306,91.81
42,0.04606988016025299,0.31785043489329423,98.446,91.66
43,0.04340960987298118,0.389928068352651,98.572,90.68
44,0.04039672968428001,0.3296624480546275,98.616,91.56
