epoch,train_loss,test_loss,train_accuracy,test_accuracy
45,0.04328689912257864,0.32026188018955765,98.53,91.91
46,0.03846248723518894,0.3413086955117274,98.708,91.61
47,0.03145353460107999,0.35564358513566513,98.962,91.35
48,0.03254711865554647,0.3091613776698897,98.94,92.15
49,0.025019492682479227,0.3000673292369782,99.24,92.53
50,0.02407254425980284,0.3374507157485696,99.256,91.88
51,0.02353022507894451,0.29837695018777366,99.242,92.45
52,0.019786200654642927,0.29394357396831994,99.398,92.61
53,0.015676038864942843,0.2959548781944227,99.526,92.93
54,0.018465911169819858,0.3200252999233294,99.462,92.6
55,0.015522139580429667,0.2956147551347938,99.568,92.81
56,0.013879774259212796,0.29727122748765766,99.622,92.77
57,0.011875801415437513,0.2816405295382572,99.7,93.09
58,0.011387746623012207,0.28099209645503687,99.71,93.01
59,0.009164770313626742,0.3056015225150917,99.782,92.58
60,0.008151835343196674,0.27864110384938084,99.814,93.32
61,0.006886109401283743,0.2794391575116145,99.854,93.31
62,0.005914793474256726,0.2782572437596472,99.89,93.29
63,0.0047281680545588605,0.2739142222400707,99.912,93.47
64,0.0047495743008794935,0.2727468006218536,99.926,93.58
65,0.0035285818777755712,0.2734822775178318,99.962,93.6
66,0.003402416415981796,0.2705125600523964,99.96,93.71
67,0.003006928556305749,0.26045238023883177,99.966,93.75
68,0.003198939896396497,0.265814365441852,99.952,93.59
69,0.0028655732198960156,0.26765199958146374,99.97,93.5
70,0.0026165922501367395,0.26511719950203655,99.97,93.81
71,0.0025214977462536623,0.2611545706285706,99.978,93.62
72,0.0023704583468118117,0.2564101425718658,99.972,93.73
73,0.002132465027372741,0.25571228808994534,99.978,93.72
74,0.002126755403152898,0.2572078665223303,99.99,93.82
75,0.0022768648112784654,0.25714281422993807,99.982,93.73
76,0.0017984025705846318,0.25589279806877996,99.992,93.73
77,0.001790731268026211,0.2540882754174969,99.988,93.83
78,0.0015968412316143465,0.2593688579346937,99.996,93.71
79,0.0016619484348203558,0.25631558414124234,99.996,93.8
80,0.0016287942571789407,0.25429851295355754,99.994,93.76
81,0.0015762557537304452,0.25277657057099706,99.994,93.91
82,0.0015581665962399757,0.25344495720501187,99.996,93.91
83,0.001588630095577401,0.25209858268499374,99.988,93.93
84,0.0014455128734147706,0.2530963147365594,99.994,93.97
85,0.001533073696779454,0.2530167130635509,99.992,93.98
86,0.0014415250687986193,0.2538738591667217,99.996,93.93
87,0.0014295988450305599,0.2530542350362373,99.994,93.92
88,0.0015258742832070184,0.2527228060025203,99.99,93.85
89,0.0013684112474571227,0.2505417849302669,99.998,93.92
90,0.0015095925349218155,0.251903259018554,99.994,93.98
91,0.0013629569570221902,0.2516596726130081,99.996,93.97
92,0.0013300580719290563,0.2543788324994377,99.996,93.93
93,0.001320725952884268,0.252253365054538,100.0,93.96
94,0.001461932375488798,0.2508017398605618,99.992,93.91
95,0.0013105988190920256,0.2509303022694739,100.0,93.96
96,0.0013424685867110273,0.2520605186825689,99.998,93.97
97,0.0014283490751166126,0.25167578626188297,99.992,93.91
98,0.001578589762954632,0.2509515016940953,99.99,93.91
99,0.0013608758285245084,0.2516084747459692,99.998,93.89
100,0.0013901569241600688,0.2508882231114409,99.998,93.95
